,user_id,avg_time_difference,avg_time_difference_in_min,avg_time_difference_in_hours,followers_count,retweet_count,sentiment_score,sentiment,extreme_user
8087,1260467072192196610,0 days 07:41:12.750000000,461.2,7.687,78,1475,2,positive,0
8088,1260467401386274816,0 days 12:01:40.750000000,721.67,12.028,101,405,1,positive,0
8089,1260468002065178626,0 days 08:15:54.666666666,495.9,8.265,5,0,2,positive,0
8090,1260472676780564488,0 days 15:40:23.666666666,940.38,15.673,64,0,-3,negative,0
8091,1260473288553369604,0 days 02:09:58.500000000,129.97,2.166,0,0,1,positive,0
8092,1260474085873782784,0 days 05:51:32.000000000,351.53,5.859,7,70,-2,negative,0
8093,1260494357070843905,0 days 03:33:06.000000000,213.1,3.552,40,32,0,neutral,0
8094,1260506507583594497,0 days 00:13:38.666666666,13.63,0.227,52,0,0,neutral,1
8095,1260511539699867649,0 days 06:46:16.714285714,406.27,6.771,124,11,-1,negative,0
8096,1260515838202982401,0 days 00:00:30.333333333,0.5,0.008,259,3,0,neutral,1
8097,1260516974985129984,0 days 00:00:04.333333333,0.07,0.001,3,750,2,positive,1
8098,1260520034738114561,0 days 00:00:10.666666666,0.17,0.003,10,97,0,neutral,1
8099,1260534152480292864,0 days 04:17:29.400000000,257.48,4.291,12,66,0,neutral,0
8100,1260552907671441408,0 days 08:20:19.200000000,500.32,8.339,64,4,1,positive,0
8101,1260555761396187136,0 days 00:55:40.000000000,55.67,0.928,3,4,-1,negative,1
8102,1260557276261253128,0 days 00:00:06.000000000,0.1,0.002,7,222,0,neutral,1
8103,1260557508583645184,0 days 12:33:01.750000000,753.02,12.55,356,2040,2,positive,0
8104,1260557550405201923,0 days 00:00:18.333333333,0.3,0.005,180,14,0,neutral,1
8105,1260562420088651778,0 days 01:56:05.000000000,116.08,1.935,536,42,-1,negative,0
8106,1260562669280595968,0 days 13:40:45.333333333,820.75,13.679,117,6,1,positive,0
8107,1260567936105943041,0 days 08:51:18.333333333,531.3,8.855,249,334,1,positive,0
8108,1260573917611204615,0 days 00:22:26.500000000,22.43,0.374,43,46,1,positive,1
8109,1260577194583232517,0 days 00:02:27.307692307,2.45,0.041,45,39,2,positive,1
8110,1260583063630811149,0 days 00:04:57.666666666,4.95,0.083,195,22,0,neutral,1
8111,1260586702579683331,0 days 05:40:26.200000000,340.43,5.674,95,2092,1,positive,0
8112,1260588525172469761,0 days 03:33:54.166666666,213.9,3.565,387,31,1,positive,0
8113,1260597958367576064,0 days 07:25:42.285714285,445.7,7.428,116,6,4,positive,0
8114,1260598067297951745,0 days 00:03:50.666666666,3.83,0.064,2,24,0,neutral,1
8115,1260620022554284035,0 days 00:58:58.400000000,58.97,0.983,136,7,0,neutral,1
8116,1260627349445500930,0 days 06:39:41.250000000,399.68,6.661,397,11,1,positive,0
8117,1260687380723335169,0 days 13:39:44.000000000,819.73,13.662,122,445,-1,negative,0
8118,1260767245237653504,0 days 00:45:07.000000000,45.12,0.752,37,157,-1,negative,1
8119,1260777664564035586,1 days 11:42:50.000000000,2142.83,35.714,12,157,1,positive,0
8120,1260779026903375874,0 days 00:00:05.050000000,0.08,0.001,37,20,-1,negative,1
8121,1260784200073920512,0 days 01:14:23.500000000,74.38,1.24,242,15,1,positive,1
8122,1260788894934740997,0 days 00:00:13.250000000,0.22,0.004,30,89,-1,negative,1
8123,1260806251753041920,0 days 00:00:15.285714285,0.25,0.004,26,86,0,neutral,1
8124,1260816997929058305,0 days 00:00:24.750000000,0.4,0.007,27,9,-1,negative,1
8125,1260817026467221504,0 days 01:06:52.041666666,66.87,1.114,316,45,5,positive,1
8126,1260820183578370050,0 days 00:00:06.714285714,0.1,0.002,3,7,-1,negative,1
8127,1260825944568233984,0 days 01:17:07.666666666,77.12,1.285,76,65,0,neutral,1
8128,1260841181384187904,0 days 03:07:18.705882352,187.3,3.122,110,1890,0,neutral,0
8129,1260868648056602630,0 days 00:04:18.000000000,4.3,0.072,65,39,0,neutral,1
8130,1260870141891379200,0 days 07:11:09.333333333,431.15,7.186,7,80,1,positive,0
8131,1260880752188837889,0 days 00:06:18.000000000,6.3,0.105,1,37,0,neutral,1
8132,1260903629814407168,0 days 04:16:15.100000000,256.25,4.271,41,49,-1,negative,0
8133,1260912447994634240,0 days 02:36:10.400000000,156.17,2.603,160,18,1,positive,0
8134,1260922352466083842,0 days 13:00:40.500000000,780.67,13.011,150,15,0,neutral,0
8135,1260926242674491398,0 days 08:53:14.333333333,533.23,8.887,20,146,1,positive,0
8136,1260928532252934144,0 days 00:00:03.250000000,0.05,0.001,6,9,1,positive,1
8137,1260962008024977409,0 days 00:00:04.250000000,0.07,0.001,32,96,0,neutral,1
8138,1260987609016393728,0 days 00:03:13.125000000,3.22,0.054,15,47,4,positive,1
8139,1260989194379223040,0 days 03:40:07.800000000,220.12,3.669,1060,28,0,neutral,0
8140,1261001912079581193,0 days 00:02:00.666666666,2.0,0.033,16,0,0,neutral,1
8141,1261077566967951360,0 days 00:00:33.000000000,0.55,0.009,0,0,0,neutral,1
8142,1261132770387955713,0 days 00:00:03.250000000,0.05,0.001,118,24,-1,negative,1
8143,1261142890572464128,0 days 00:00:07.750000000,0.12,0.002,10,264,-1,negative,1
8144,1261143408812257281,0 days 00:00:06.750000000,0.1,0.002,302,22,0,neutral,1
8145,1261160014237986816,0 days 06:41:35.375000000,401.58,6.693,648,21,-1,negative,0
8146,1261164574490820609,0 days 14:18:38.000000000,858.63,14.311,56,2755,1,positive,0
8147,1261169863738814464,0 days 00:22:05.600000000,22.08,0.368,734,20,0,neutral,1
8148,1261171307334365186,0 days 00:00:07.500000000,0.12,0.002,15,112,0,neutral,1
8149,1261180291953111040,0 days 00:00:09.333333333,0.15,0.003,92,260,0,neutral,1
8150,1261182319710347264,0 days 00:00:14.666666666,0.23,0.004,29,7,1,positive,1
8151,1261193872333516805,0 days 00:00:10.400000000,0.17,0.003,29,115,0,neutral,1
8152,1261206935681953792,0 days 05:46:05.000000000,346.08,5.768,5,4103,0,neutral,0
8153,1261211170909847552,0 days 00:06:25.000000000,6.42,0.107,202,41,-1,negative,1
8154,1261217523233521664,0 days 05:31:57.000000000,331.95,5.532,641,30,0,neutral,0
8155,1261221126405046274,0 days 00:00:19.333333333,0.32,0.005,19,15,-1,negative,1
8156,1261221613938388992,0 days 01:09:24.000000000,69.4,1.157,7,92,1,positive,1
8157,1261230916892012546,0 days 00:00:39.400000000,0.65,0.011,56,45,0,neutral,1
8158,1261239245253025793,0 days 04:08:13.500000000,248.22,4.137,41,18,3,positive,0
8159,1261245267975651328,0 days 00:01:27.500000000,1.45,0.024,26,46,0,neutral,1
8160,1261249244637343745,0 days 02:08:17.000000000,128.28,2.138,50,2154,0,neutral,0
8161,1261249473524752384,0 days 13:02:51.000000000,782.85,13.047,10,6143,0,neutral,0
8162,1261254391308353538,0 days 01:36:29.933333333,96.48,1.608,210,148,-1,negative,0
8163,1261257135641559040,0 days 04:05:00.600000000,245.0,4.083,56,68,1,positive,0
8164,1261261377878007811,0 days 02:44:35.666666666,164.58,2.743,100,45,1,positive,0
8165,1261270345178374152,0 days 00:00:55.571428571,0.92,0.015,17,69,1,positive,1
8166,1261272113337511936,0 days 00:36:03.000000000,36.05,0.601,24,22,-1,negative,1
8167,1261283652207546368,0 days 03:35:19.461538461,215.32,3.589,145,24,2,positive,0
8168,1261290742175203334,0 days 00:01:34.000000000,1.57,0.026,196,370,0,neutral,1
8169,1261291445748563968,0 days 01:06:58.333333333,66.97,1.116,13055,36,1,positive,1
8170,1261294386580774918,0 days 10:18:08.666666666,618.13,10.302,85,8,1,positive,0
8171,1261305978428878848,0 days 00:05:26.333333333,5.43,0.091,13,641,1,positive,1
8172,1261311296995241984,0 days 00:00:10.166666666,0.17,0.003,67,76,1,positive,1
8173,1261311463643394060,0 days 03:31:00.500000000,211.0,3.517,96,443,-1,negative,0
8174,1261333546838511617,0 days 00:00:28.675675675,0.47,0.008,200,79,-3,negative,1
8175,1261337055923073025,0 days 09:14:30.750000000,554.5,9.242,330,100,0,neutral,0
8176,1261377458558906369,0 days 01:57:20.083333333,117.33,1.956,28,136,-4,negative,0
8177,1261385213642518529,0 days 10:22:14.250000000,622.23,10.371,69,459,0,neutral,0
8178,1261408405513801731,0 days 01:04:13.857142857,64.22,1.07,56,1,3,positive,1
